2025-11-20 07:55:42 | INFO     | root                 | setup_logging   | Logging system initialized successfully
2025-11-20 07:55:42 | INFO     | root                 | setup_logging   | Log files location: /root/Bot/backend/logs
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | SELECT DATABASE()
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | SELECT @@sql_mode
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | SELECT @@lower_case_table_names
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _connection_begin_impl | BEGIN (implicit)
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | DESCRIBE `hsbc_autoassist`.`users`
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | DESCRIBE `hsbc_autoassist`.`chat_conversations`
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | DESCRIBE `hsbc_autoassist`.`chat_messages`
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | DESCRIBE `hsbc_autoassist`.`query_resolutions`
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | DESCRIBE `hsbc_autoassist`.`resolution_feedback`
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _execute_context | [raw sql] {}
2025-11-20 07:55:42 | INFO     | sqlalchemy.engine.Engine | _connection_commit_impl | COMMIT
2025-11-20 07:55:42 | INFO     | app.main             | <module>        | Database tables created successfully
2025-11-20 07:55:42 | INFO     | app.main             | <module>        | HSBC AutoAssist API initialized
2025-11-20 07:55:42 | INFO     | app.main             | startup_event   | HSBC AutoAssist API starting up...
2025-11-20 07:55:42 | INFO     | app.main             | startup_event   | CORS origins configured: []
2025-11-20 07:55:42 | INFO     | app.main             | startup_event   | API is ready to serve requests
